,,,,,,,,,
,State,Black,Hispanic,Another Race,Native American,Asian,People of Color,White,All Households
,United States,41.7,46.8,49.1,56.7,59.4,47.0,71.7,63.7
,Alabama,50.1,48.1,62.7,73.3,57.0,51.0,76.5,68.3
,Alaska,38.5,45.0,46.7,60.1,64.5,53.1,69.9,64.8
,Arizona,34.1,53.3,47.7,55.8,61.4,51.7,70.7,64.1
,Arkansas,43.0,51.8,54.1,59.5,55.0,46.8,71.1,65.3
,California,34.5,43.2,45.7,52.5,58.9,46.5,63.0,54.4
,Colorado,39.9,50.0,51.2,53.4,60.9,49.8,70.2,65.1
,Connecticut,39.0,33.6,46.3,50.3,58.7,39.7,75.6,65.6
,Delaware,50.6,48.3,56.1,78.7,60.6,51.7,80.2,71.0
,District of Columbia,34.8,31.5,41.3,26.7,39.7,34.9,50.2,41.3
,Florida,45.1,50.9,56.2,62.9,69.2,50.3,74.1,65.1
,Georgia,46.1,47.5,52.9,51.4,65.8,48.2,73.7,62.8
,Hawaii,24.2,35.5,51.6,24.4,70.4,59.1,56.4,58.3
,Idaho,39.0,51.5,52.3,59.5,62.9,52.7,72.4,69.8
,Illinois,38.2,52.8,48.6,50.7,60.9,47.5,74.3,65.8
,Indiana,37.2,53.4,50.1,60.8,52.3,44.6,73.9,68.8
,Iowa,26.3,50.3,45.7,44.1,54.4,43.4,74.2,71.0
,Kansas,34.5,52.9,48.6,43.8,57.8,47.3,70.3,66.0
,Kentucky,36.1,38.1,49.2,48.0,51.6,39.3,71.1,66.9
,Louisiana,46.7,45.5,61.6,67.9,64.9,48.0,75.6,65.3
,Maine,25.4,53.7,51.7,59.4,54.3,49.5,73.3,72.2
,Maryland,51.1,50.7,56.4,53.2,69.5,53.6,76.6,66.6
,Massachusetts,35.3,26.8,43.7,37.1,53.6,37.0,69.4,61.9
,Michigan,41.4,57.4,55.9,62.9,56.8,47.5,77.5,71.0
,Minnesota,24.2,46.9,49.3,49.6,58.3,41.8,76.4,71.4
,Mississippi,52.8,47.7,57.4,67.4,55.5,52.8,77.5,67.5
,Missouri,38.0,50.9,50.5,56.7,53.9,43.2,71.9,66.7
,Montana,34.1,45.9,52.6,48.8,43.5,47.9,69.9,67.7
,Nebraska,30.5,49.9,46.7,41.2,43.7,43.2,70.2,65.9
,Nevada,29.5,45.0,42.0,53.1,63.7,44.9,63.8,56.0
,New Hampshire,32.4,40.8,50.3,55.4,53.9,45.4,72.5,70.6
,New Jersey,38.6,36.5,52.4,52.7,62.7,43.4,76.4,63.5
,New Mexico,41.2,65.2,55.2,62.2,52.3,63.4,71.9,67.3
,New York,31.9,25.4,39.5,49.2,48.1,32.7,66.5,53.6
,North Carolina,45.0,45.5,49.0,65.8,62.3,47.2,73.2,64.9
,North Dakota,9.0,33.6,37.0,45.6,24.1,31.2,66.9,62.6
,Ohio,35.3,44.3,43.2,44.0,51.2,39.0,71.9,65.7
,Oklahoma,38.3,50.5,56.1,63.0,56.7,51.7,70.5,65.2
,Oregon,33.9,42.7,47.3,48.5,61.9,46.9,65.5,62.2
,Pennsylvania,43.3,40.4,48.1,57.6,58.2,45.1,74.1,68.6
,Rhode Island,33.9,30.3,40.0,29.9,48.3,34.2,67.7,60.3
,South Carolina,52.8,46.9,53.2,62.8,66.6,52.7,76.9,69.0
,South Dakota,22.2,38.8,48.7,37.6,32.4,36.6,72.2,68.0
,Tennessee,42.6,40.6,49.3,55.4,58.5,43.8,72.5,65.9
,Texas,40.2,56.8,51.0,63.7,62.9,53.1,70.3,61.6
,Utah,29.6,51.3,51.5,54.7,61.6,51.5,73.6,69.8
,Vermont,25.0,51.8,55.8,46.9,54.3,48.6,71.6,70.4
,Virginia,47.5,48.5,50.9,63.1,67.2,51.3,73.0,65.9
,Washington,31.5,43.7,44.4,55.3,61.8,48.2,67.4,62.7
,West Virginia,42.6,54.0,54.7,55.1,58.1,48.5,74.3,72.7
,Wisconsin,25.6,39.7,46.7,47.2,49.0,36.4,71.8,66.9
,Wyoming,31.4,58.8,59.5,54.0,60.4,56.6,71.4,69.7